utc,arm,dimensions,presentation,presentation_ocr,fps,gpu_ms,interval_ms
2026-09-24T02:03:13.982647+00:00,W1,1280x720,Composited,Composited,117.07,7.34,8.54
2026-09-24T02:03:16.333638+00:00,W1,1280x720,Composited,Composited,118.03,7.18,8.47
2026-09-24T02:03:18.688503+00:00,W1,1280x720,Composited,Composited,115.2,7.05,8.68
2026-09-24T02:03:21.062489+00:00,W1,1280x720,Composited,Composited,117.07,7.56,8.54
2026-09-24T02:03:23.412912+00:00,W1,1280x720,Composited,Composited,110.77,7.13,9.03
2026-09-24T02:03:25.762724+00:00,W1,1280x720,Composited,Composited,118.03,7.61,8.47
2026-09-24T02:05:07.079288+00:00,F2,1512x949,Direct,• Direct,127.48,6.81,7.84
2026-09-24T02:05:09.426317+00:00,F2,1512x949,Direct,•Direct,129.04,7.06,7.75
2026-09-24T02:05:11.779446+00:00,F2,1512x949,Direct,Dinect,119.57,7.02,8.36
2026-09-24T02:05:14.124495+00:00,F2,1512x949,Direct,Direct,129.97,7.17,7.69
2026-09-24T02:05:16.472317+00:00,F2,1512x949,Direct,•Direct,121.08,6.65,8.26
2026-09-24T02:05:18.823524+00:00,F2,1512x949,Direct,Direct,130.22,6.56,7.68
2026-09-24T02:06:00.833391+00:00,W2,1280x720,Composited,Composited,109.92,7.24,9.1
2026-09-24T02:06:03.195400+00:00,W2,1280x720,Composited,Composited,114.29,7.55,8.75
2026-09-24T02:06:05.561744+00:00,W2,1280x720,Composited,Composited,115.2,7.41,8.68
2026-09-24T02:06:07.906271+00:00,W2,1280x720,Composited,Composited,112.5,7.47,8.89
2026-09-24T02:06:10.265932+00:00,W2,1280x720,Composited,Composited,113.39,6.8,8.82
2026-09-24T02:06:12.622787+00:00,W2,1280x720,Composited,Composited,117.07,7.52,8.54
2026-09-24T02:07:42.617481+00:00,F3,1512x949,Direct,Direct,130.38,6.85,7.67
2026-09-24T02:07:44.976162+00:00,F3,1512x949,Direct,Dinect,130.89,6.27,7.64
2026-09-24T02:07:47.329466+00:00,F3,1512x949,Direct,Direct,121.38,6.55,8.24
2026-09-24T02:07:49.673583+00:00,F3,1512x949,Direct,Direct,130.89,7.06,7.64
2026-09-24T02:07:52.015351+00:00,F3,1512x949,Direct,Direct,120.62,7.04,8.29
2026-09-24T02:07:54.354611+00:00,F3,1512x949,Direct,Direct,129.17,6.52,7.74
